Employee Id,Department,Region,Education,Gender,Recruitment_Channel,No_Of_Trainings,Age,Age Group,Previous_Year_Rating,Length_Of_Service,Kpis_Met >80%,Awards_Won?,Avg_Training_Score,Training Score Group,Is_Promoted
59147,Sales & Marketing,Region_22,Bachelor'S,M,Sourcing,1,30,30-40,3,3,0,0,58,40-60,1
53092,Technology,Region_2,Bachelor'S,M,Referred,1,47,40-50,3,7,0,0,79,60-80,0
34564,Operations,Region_4,Master'S & Above,M,Sourcing,1,35,30-40,2,7,0,0,53,40-60,0
77135,R&D,Region_22,Bachelor'S,M,Other,1,36,30-40,4,8,0,0,82,>80,0
47498,Operations,Region_11,Master'S & Above,F,Sourcing,1,42,40-50,5,11,1,0,60,40-60,1
20798,Hr,Region_20,Bachelor'S,F,Sourcing,1,28,20-30,2,6,0,0,52,40-60,0
22261,Procurement,Region_7,Master'S & Above,M,Sourcing,1,32,30-40,5,3,1,0,69,60-80,1
21628,Analytics,Region_12,Bachelor'S,M,Other,1,34,30-40,3,8,0,0,85,>80,0
68484,Procurement,Region_2,Master'S & Above,M,Sourcing,2,46,40-50,4,3,1,0,74,60-80,0
44523,Hr,Region_2,Master'S & Above,M,Other,1,47,40-50,3,7,0,0,44,40-60,0
35420,Operations,Region_2,Bachelor'S,F,Other,1,44,40-50,4,13,0,0,53,40-60,0
43923,Analytics,Region_14,Bachelor'S,M,Sourcing,1,31,30-40,4,4,1,0,86,>80,0
41983,Operations,Region_2,Bachelor'S,F,Sourcing,1,33,30-40,3,5,0,0,57,40-60,0
21440,Sales & Marketing,Region_31,Bachelor'S,M,Other,1,41,40-50,3,12,1,0,52,40-60,0
66635,Operations,Region_15,Bachelor'S,M,Other,1,31,30-40,5,4,1,0,63,60-80,1
16027,Operations,Region_26,Bachelor'S,F,Other,1,37,30-40,3,11,0,0,57,40-60,0
46020,Analytics,Region_7,Bachelor'S,M,Sourcing,2,39,30-40,3,4,1,0,83,>80,0
28509,Sales & Marketing,Region_7,Bachelor'S,M,Other,1,40,40-50,5,8,1,0,54,40-60,0
33587,Sales & Marketing,Region_28,Master'S & Above,M,Sourcing,1,42,40-50,5,4,0,0,50,40-60,0
21387,Operations,Region_13,Bachelor'S,M,Other,1,35,30-40,4,6,1,0,57,40-60,1
55927,Operations,Region_13,Master'S & Above,F,Sourcing,1,41,40-50,4,6,1,0,62,60-80,0
60763,Procurement,Region_2,Bachelor'S,F,Other,1,23,20-30,3,2,0,0,73,60-80,0
53167,Sales & Marketing,Region_16,Bachelor'S,M,Sourcing,2,31,30-40,3,4,0,0,50,40-60,0
32672,Analytics,Region_22,Master'S & Above,M,Other,1,42,40-50,2,19,0,0,79,60-80,0
48785,Sales & Marketing,Region_22,Bachelor'S,M,Other,3,29,20-30,4,2,0,0,49,40-60,0
75778,Operations,Region_2,Bachelor'S,M,Sourcing,1,41,40-50,4,6,1,0,63,60-80,0
14141,Sales & Marketing,Region_7,Bachelor'S,F,Other,1,40,40-50,3,2,1,0,90,>80,1
17894,Sales & Marketing,Region_2,Bachelor'S,M,Referred,1,34,30-40,5,5,0,0,49,40-60,0
54380,Sales & Marketing,Region_4,Bachelor'S,F,Other,1,31,30-40,4,2,0,0,46,40-60,0
51892,Technology,Region_2,Bachelor'S,M,Other,1,27,20-30,5,2,0,0,86,>80,1
3625,Procurement,Region_21,Bachelor'S,M,Sourcing,4,30,30-40,3,2,0,0,72,60-80,0
38771,Procurement,Region_23,Bachelor'S,F,Other,1,27,20-30,4,4,1,0,72,60-80,1
18959,Technology,Region_15,Bachelor'S,M,Other,4,36,30-40,4,7,0,0,82,>80,0
21137,Technology,Region_2,Bachelor'S,M,Sourcing,1,35,30-40,4,6,0,0,77,60-80,0
26097,Sales & Marketing,Region_25,Master'S & Above,M,Other,1,34,30-40,5,7,1,0,51,40-60,1
38052,Procurement,Region_34,Master'S & Above,M,Sourcing,1,37,30-40,5,3,0,1,92,>80,1
72744,Procurement,Region_2,Master'S & Above,M,Sourcing,2,47,40-50,3,5,1,0,71,60-80,0
15227,Procurement,Region_27,Master'S & Above,F,Other,1,40,40-50,5,5,0,0,68,60-80,0
42068,Operations,Region_1,Master'S & Above,M,Other,1,38,30-40,5,9,1,0,61,60-80,0
54825,Sales & Marketing,Region_25,Bachelor'S,M,Other,1,30,30-40,3,2,0,0,47,40-60,0
77709,Sales & Marketing,Region_11,Bachelor'S,F,Sourcing,1,28,20-30,5,3,0,0,46,40-60,0
43712,Procurement,Region_22,Bachelor'S,M,Sourcing,2,28,20-30,5,4,1,0,67,60-80,0
74783,Operations,Region_29,Bachelor'S,M,Sourcing,1,35,30-40,4,7,0,0,58,40-60,0
19318,Analytics,Region_22,Bachelor'S,M,Other,1,32,30-40,3,8,0,0,89,>80,1
12096,Sales & Marketing,Region_26,Master'S & Above,M,Sourcing,1,36,30-40,5,8,0,0,50,40-60,0
29521,Technology,Region_15,Bachelor'S,M,Other,1,27,20-30,3,4,1,0,78,60-80,0
36371,Finance,Region_28,Master'S & Above,M,Other,2,34,30-40,3,7,0,0,56,40-60,0
51164,Technology,Region_14,Bachelor'S,F,Other,1,31,30-40,4,4,1,1,78,60-80,0
17812,Technology,Region_27,Bachelor'S,F,Sourcing,1,30,30-40,4,2,0,0,77,60-80,0
7606,Technology,Region_29,Bachelor'S,F,Other,2,30,30-40,3,7,1,1,76,60-80,0
73735,Analytics,Region_25,Bachelor'S,M,Other,1,30,30-40,5,3,1,0,84,>80,0
29313,Finance,Region_22,Bachelor'S,M,Sourcing,1,28,20-30,3,2,0,0,57,40-60,0
40262,Technology,Region_2,Bachelor'S,M,Other,2,28,20-30,3,5,0,0,81,>80,0
36904,Sales & Marketing,Region_15,Bachelor'S,M,Other,1,29,20-30,3,2,0,0,51,40-60,0
62552,Sales & Marketing,Region_22,Master'S & Above,M,Sourcing,1,46,40-50,3,11,1,0,51,40-60,0
63285,Technology,Region_29,Bachelor'S,M,Sourcing,1,31,30-40,5,4,1,0,80,60-80,0
74203,Procurement,Region_5,Bachelor'S,M,Sourcing,1,28,20-30,1,4,0,0,72,60-80,0
75344,Sales & Marketing,Region_4,Master'S & Above,M,Other,1,31,30-40,4,6,0,0,50,40-60,0
74018,Hr,Region_7,Master'S & Above,F,Other,1,37,30-40,3,9,0,0,48,40-60,0
34985,Technology,Region_5,Bachelor'S,F,Other,2,34,30-40,5,8,0,0,88,>80,1
35930,Procurement,Region_2,Bachelor'S,M,Sourcing,1,25,20-30,5,3,1,0,70,60-80,1
6708,Operations,Region_22,Master'S & Above,M,Sourcing,1,40,40-50,4,4,1,0,57,40-60,0
5515,Operations,Region_13,Master'S & Above,M,Other,1,43,40-50,3,7,1,0,56,40-60,1
53373,Operations,Region_13,Bachelor'S,M,Other,1,36,30-40,1,5,0,0,56,40-60,0
69316,Legal,Region_29,Bachelor'S,M,Sourcing,1,29,20-30,3,3,0,0,63,60-80,0
41009,Finance,Region_13,Bachelor'S,M,Sourcing,2,35,30-40,3,2,0,0,56,40-60,0
50622,Analytics,Region_25,Master'S & Above,M,Other,1,34,30-40,5,2,0,0,84,>80,0
30106,Sales & Marketing,Region_16,Bachelor'S,F,Sourcing,1,32,30-40,4,4,1,0,45,40-60,0
23523,Technology,Region_26,Bachelor'S,M,Sourcing,1,29,20-30,3,5,0,0,75,60-80,0
74349,Sales & Marketing,Region_5,Bachelor'S,M,Sourcing,1,34,30-40,1,4,0,0,48,40-60,0
70543,Procurement,Region_2,Master'S & Above,M,Sourcing,1,37,30-40,5,7,1,0,70,60-80,0
42245,Procurement,Region_22,Bachelor'S,F,Other,1,33,30-40,3,3,1,0,73,60-80,0
34405,Procurement,Region_2,Master'S & Above,F,Other,1,33,30-40,5,4,1,0,67,60-80,0
4134,Sales & Marketing,Region_16,Bachelor'S,F,Other,1,39,30-40,1,8,0,0,45,40-60,0
23599,Technology,Region_23,Master'S & Above,M,Other,1,34,30-40,4,7,0,0,82,>80,0
942,Technology,Region_22,Bachelor'S,M,Other,2,32,30-40,4,6,0,0,84,>80,0
5281,Sales & Marketing,Region_7,Master'S & Above,M,Other,1,34,30-40,4,6,0,0,53,40-60,0
197,Finance,Region_12,Bachelor'S,M,Other,1,29,20-30,5,6,1,0,61,60-80,0
37574,Sales & Marketing,Region_2,Bachelor'S,M,Sourcing,2,28,20-30,1,2,0,0,50,40-60,0
26773,Technology,Region_7,Bachelor'S,F,Other,1,28,20-30,2,5,0,0,75,60-80,0
70034,Procurement,Region_2,Master'S & Above,F,Other,2,35,30-40,3,9,0,0,70,60-80,0
40565,Technology,Region_2,Bachelor'S,F,Other,2,40,40-50,3,3,0,0,86,>80,0
17193,Sales & Marketing,Region_2,Bachelor'S,F,Other,2,27,20-30,2,4,0,0,54,40-60,0
76550,Procurement,Region_22,Bachelor'S,F,Other,3,26,20-30,3,3,1,0,70,60-80,0
53841,Operations,Region_2,Bachelor'S,M,Sourcing,1,43,40-50,2,12,0,0,57,40-60,0
30196,Analytics,Region_25,Bachelor'S,M,Sourcing,1,29,20-30,5,6,1,0,84,>80,0
29757,Sales & Marketing,Region_14,Bachelor'S,M,Sourcing,1,43,40-50,3,15,0,0,51,40-60,0
6073,Sales & Marketing,Region_2,Bachelor'S,M,Sourcing,3,27,20-30,4,4,0,0,49,40-60,0
9863,Procurement,Region_27,Bachelor'S,M,Sourcing,1,26,20-30,4,4,1,0,70,60-80,0
34306,Procurement,Region_13,Bachelor'S,F,Other,1,31,30-40,5,5,1,0,72,60-80,0
34041,Operations,Region_7,Bachelor'S,M,Other,1,40,40-50,4,11,0,0,58,40-60,0
21356,Operations,Region_15,Bachelor'S,F,Other,2,39,30-40,5,12,1,0,55,40-60,0
29540,Operations,Region_2,Bachelor'S,F,Other,2,30,30-40,3,6,0,0,57,40-60,0
51669,Technology,Region_2,Master'S & Above,M,Other,1,47,40-50,4,4,1,0,77,60-80,0
33825,Sales & Marketing,Region_17,Bachelor'S,M,Other,1,34,30-40,4,7,1,0,48,40-60,1
11645,Sales & Marketing,Region_23,Master'S & Above,M,Other,1,41,40-50,5,7,0,0,51,40-60,0
3231,Technology,Region_7,Bachelor'S,M,Other,1,29,20-30,1,4,0,0,80,60-80,0
7030,Analytics,Region_31,Bachelor'S,F,Other,1,32,30-40,3,4,0,0,86,>80,0
54198,Procurement,Region_7,Master'S & Above,F,Other,1,47,40-50,5,9,0,0,68,60-80,0
62293,Operations,Region_27,Bachelor'S,M,Other,1,35,30-40,4,3,0,0,65,60-80,0
25312,Technology,Region_22,Bachelor'S,M,Other,1,27,20-30,4,2,0,0,75,60-80,0
75610,Analytics,Region_32,Bachelor'S,M,Other,1,29,20-30,1,3,0,0,81,>80,0
16518,Sales & Marketing,Region_20,Bachelor'S,M,Sourcing,2,36,30-40,3,9,0,0,49,40-60,0
42747,Sales & Marketing,Region_15,Bachelor'S,M,Other,2,35,30-40,1,8,0,0,39,<40,0
67980,Procurement,Region_2,Bachelor'S,F,Sourcing,2,34,30-40,3,2,0,0,70,60-80,0
53630,Sales & Marketing,Region_23,Master'S & Above,F,Sourcing,1,34,30-40,4,5,1,1,94,>80,1
72423,Operations,Region_2,Master'S & Above,M,Sourcing,1,39,30-40,3,2,1,0,60,40-60,0
73022,Sales & Marketing,Region_25,Bachelor'S,M,Other,1,26,20-30,5,2,1,0,51,40-60,0
63976,Operations,Region_31,Bachelor'S,F,Sourcing,1,30,30-40,5,4,0,0,56,40-60,0
57228,Hr,Region_2,Master'S & Above,M,Sourcing,1,44,40-50,5,6,0,0,48,40-60,0
14912,Sales & Marketing,Region_1,Bachelor'S,M,Other,1,38,30-40,3,4,1,0,49,40-60,0
22725,Technology,Region_26,Bachelor'S,M,Other,1,40,40-50,1,3,0,0,78,60-80,0
18981,Legal,Region_2,Master'S & Above,M,Sourcing,1,50,50-60,5,6,0,1,58,40-60,0
50845,Procurement,Region_19,Master'S & Above,M,Other,1,44,40-50,3,12,0,0,70,60-80,0
11800,Procurement,Region_2,Below Secondary,F,Other,1,23,20-30,1,2,0,0,69,60-80,0
16351,Sales & Marketing,Region_7,Master'S & Above,F,Sourcing,1,36,30-40,1,2,0,0,53,40-60,0
75881,Analytics,Region_27,Bachelor'S,M,Sourcing,1,25,20-30,1,4,0,0,80,60-80,0
73200,Operations,Region_28,Bachelor'S,M,Sourcing,1,34,30-40,5,4,1,0,58,40-60,0
58338,Analytics,Region_1,Bachelor'S,M,Other,2,30,30-40,5,6,1,0,81,>80,0
40187,Procurement,Region_12,Bachelor'S,M,Sourcing,1,35,30-40,1,8,0,0,67,60-80,0
70193,Analytics,Region_6,Bachelor'S,M,Sourcing,1,33,30-40,4,8,0,0,86,>80,0
27188,Analytics,Region_13,Master'S & Above,M,Other,1,30,30-40,3,4,1,0,80,60-80,0
24291,Analytics,Region_26,Bachelor'S,M,Other,2,27,20-30,5,3,1,0,85,>80,0
52231,Operations,Region_2,Bachelor'S,M,Sourcing,1,43,40-50,3,3,0,0,58,40-60,0
34241,Analytics,Region_22,Bachelor'S,M,Other,2,28,20-30,3,5,1,0,86,>80,0
76661,Procurement,Region_17,Bachelor'S,M,Other,1,31,30-40,5,3,1,0,68,60-80,0
50595,Operations,Region_2,Bachelor'S,F,Other,1,43,40-50,4,12,0,0,58,40-60,0
67673,Operations,Region_4,Bachelor'S,F,Other,1,35,30-40,5,9,1,0,60,40-60,0
10547,Sales & Marketing,Region_5,Bachelor'S,M,Other,2,35,30-40,3,9,0,0,49,40-60,0
73405,Operations,Region_2,Master'S & Above,M,Other,1,50,50-60,3,8,1,0,59,40-60,0
73114,Hr,Region_17,Bachelor'S,F,Other,1,26,20-30,4,3,0,0,50,40-60,0
22572,Sales & Marketing,Region_27,Bachelor'S,M,Sourcing,1,32,30-40,3,5,1,0,52,40-60,0
62923,Operations,Region_13,Master'S & Above,F,Other,1,38,30-40,5,2,1,1,93,>80,1
24090,Procurement,Region_14,Bachelor'S,F,Sourcing,1,37,30-40,3,9,0,0,69,60-80,0
57298,Analytics,Region_2,Bachelor'S,M,Sourcing,2,54,50-60,3,9,1,0,86,>80,0
25629,Sales & Marketing,Region_11,Bachelor'S,M,Sourcing,1,36,30-40,3,8,0,0,51,40-60,0
71339,Technology,Region_6,Bachelor'S,M,Other,1,35,30-40,3,8,0,0,78,60-80,0
54714,Analytics,Region_29,Bachelor'S,M,Other,1,39,30-40,3,4,1,0,85,>80,0
7390,Operations,Region_12,Bachelor'S,F,Sourcing,1,31,30-40,5,4,1,0,63,60-80,0
9563,Operations,Region_31,Bachelor'S,M,Other,2,38,30-40,3,7,1,1,60,40-60,0
39107,Sales & Marketing,Region_22,Bachelor'S,M,Sourcing,1,28,20-30,1,2,0,0,48,40-60,0
19445,Sales & Marketing,Region_7,Bachelor'S,M,Sourcing,3,26,20-30,2,3,0,0,52,40-60,0
32557,Analytics,Region_20,Bachelor'S,M,Sourcing,1,30,30-40,3,4,0,0,84,>80,0
43396,Operations,Region_22,Bachelor'S,M,Sourcing,2,37,30-40,2,4,1,0,57,40-60,1
63237,Technology,Region_22,Bachelor'S,M,Referred,1,26,20-30,4,2,0,0,82,>80,0
32838,Technology,Region_7,Bachelor'S,M,Other,1,31,30-40,4,4,0,0,78,60-80,0
23003,Technology,Region_14,Bachelor'S,F,Other,1,38,30-40,5,7,1,0,82,>80,0
45198,Sales & Marketing,Region_13,Bachelor'S,M,Other,1,39,30-40,4,9,0,0,49,40-60,0
40376,Sales & Marketing,Region_4,Bachelor'S,M,Other,1,30,30-40,5,4,0,1,50,40-60,0
60176,Procurement,Region_15,Master'S & Above,F,Other,1,34,30-40,5,8,1,0,67,60-80,0
67652,Procurement,Region_23,Master'S & Above,F,Other,1,33,30-40,3,5,1,0,72,60-80,0
15476,Technology,Region_2,Bachelor'S,F,Other,1,29,20-30,5,3,1,0,78,60-80,0
55811,Operations,Region_2,Bachelor'S,M,Sourcing,1,28,20-30,4,2,1,0,61,60-80,0
10058,Analytics,Region_22,Bachelor'S,M,Other,2,26,20-30,4,2,1,0,87,>80,0
73435,Legal,Region_22,Bachelor'S,M,Sourcing,1,34,30-40,5,4,0,0,64,60-80,0
51255,Sales & Marketing,Region_27,Bachelor'S,M,Sourcing,1,35,30-40,3,7,0,0,46,40-60,0
70060,Technology,Region_13,Master'S & Above,M,Other,1,43,40-50,3,14,0,0,79,60-80,0
51473,Sales & Marketing,Region_15,Bachelor'S,M,Other,1,34,30-40,1,8,0,0,39,<40,0
71904,Technology,Region_7,Master'S & Above,F,Other,2,38,30-40,3,10,0,0,88,>80,0
76080,Operations,Region_7,Bachelor'S,F,Other,1,34,30-40,1,5,0,0,54,40-60,0
33357,Operations,Region_22,Bachelor'S,M,Sourcing,1,41,40-50,4,4,0,0,63,60-80,0
53502,Finance,Region_7,Bachelor'S,M,Sourcing,2,29,20-30,1,4,0,0,61,60-80,0
26409,Operations,Region_2,Bachelor'S,M,Other,1,33,30-40,4,3,0,0,61,60-80,0
59608,Sales & Marketing,Region_2,Master'S & Above,F,Other,1,41,40-50,4,5,1,0,48,40-60,0
28687,Operations,Region_2,Master'S & Above,M,Other,3,38,30-40,3,11,0,0,57,40-60,0
34312,Procurement,Region_2,Master'S & Above,F,Other,2,54,50-60,4,23,0,0,66,60-80,0
11438,Sales & Marketing,Region_13,Master'S & Above,F,Sourcing,2,34,30-40,2,8,0,0,49,40-60,0
11794,R&D,Region_2,Bachelor'S,M,Other,2,26,20-30,5,3,1,0,87,>80,0
48756,Operations,Region_7,Bachelor'S,F,Sourcing,1,35,30-40,5,3,0,0,59,40-60,0
13970,Operations,Region_33,Master'S & Above,M,Other,1,36,30-40,3,4,0,0,60,40-60,0
49868,Technology,Region_5,Bachelor'S,M,Other,1,45,40-50,3,15,0,0,87,>80,0
25261,Procurement,Region_7,Master'S & Above,M,Other,1,38,30-40,4,7,0,0,66,60-80,0
44536,Sales & Marketing,Region_27,Bachelor'S,F,Other,1,26,20-30,2,4,0,0,47,40-60,0
27989,Analytics,Region_34,Bachelor'S,M,Sourcing,1,32,30-40,3,7,0,0,87,>80,0
12598,Analytics,Region_6,Bachelor'S,M,Sourcing,1,29,20-30,4,4,0,0,78,60-80,0
32877,Sales & Marketing,Region_2,Bachelor'S,F,Other,1,40,40-50,3,12,0,0,50,40-60,0
30682,Technology,Region_2,Bachelor'S,M,Referred,2,29,20-30,4,6,0,0,75,60-80,0
1829,Analytics,Region_28,Bachelor'S,M,Other,2,31,30-40,5,7,1,0,87,>80,0
2177,Finance,Region_16,Bachelor'S,M,Other,1,32,30-40,5,6,1,0,58,40-60,0
51771,Operations,Region_17,Bachelor'S,M,Other,1,42,40-50,5,11,0,0,67,60-80,0
26026,Procurement,Region_15,Bachelor'S,F,Sourcing,1,30,30-40,5,3,1,0,65,60-80,0
64977,Procurement,Region_16,Bachelor'S,F,Other,1,24,20-30,3,2,1,0,70,60-80,0
44585,Sales & Marketing,Region_30,Bachelor'S,M,Sourcing,1,35,30-40,3,7,0,0,56,40-60,0
43562,Technology,Region_5,Bachelor'S,F,Sourcing,2,32,30-40,1,3,0,0,80,60-80,0
56287,Hr,Region_2,Bachelor'S,F,Sourcing,1,22,20-30,3,2,0,0,47,40-60,0
19100,Sales & Marketing,Region_2,Bachelor'S,M,Sourcing,2,44,40-50,5,14,0,0,48,40-60,0
58203,Operations,Region_16,Bachelor'S,M,Other,2,39,30-40,3,9,0,0,58,40-60,0
12504,Technology,Region_7,Bachelor'S,F,Other,1,46,40-50,4,17,0,0,85,>80,0
49126,Technology,Region_15,Bachelor'S,M,Other,1,29,20-30,2,5,0,0,77,60-80,0
66469,Finance,Region_7,Bachelor'S,M,Other,1,26,20-30,1,3,0,0,59,40-60,0
53350,Operations,Region_23,Bachelor'S,M,Other,1,35,30-40,4,5,0,0,61,60-80,0
22031,Procurement,Region_2,Bachelor'S,F,Other,1,29,20-30,4,2,1,0,95,>80,1
36185,Technology,Region_13,Bachelor'S,M,Sourcing,1,30,30-40,2,9,0,0,79,60-80,0
58415,Sales & Marketing,Region_7,Bachelor'S,M,Other,1,45,40-50,4,5,0,0,50,40-60,0
71763,Sales & Marketing,Region_15,Bachelor'S,F,Other,1,30,30-40,1,6,0,0,47,40-60,0
62742,Finance,Region_32,Bachelor'S,M,Sourcing,1,28,20-30,2,4,0,0,59,40-60,0
33619,Technology,Region_2,Master'S & Above,M,Sourcing,1,46,40-50,5,10,1,0,76,60-80,0
41212,Procurement,Region_7,Bachelor'S,M,Sourcing,1,27,20-30,2,2,0,0,69,60-80,0
